preprocess_default.arff with NaiveBayesSimple before removing BandNumber column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,,,
preprocess,1,1,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,65,26,0,71.42857143,28.57142857,0,0.582200247,0.062369544,0.202903792,54.84540631,85.23327956,177.851798,149.456984,28.39481399,1.954415363,1.64238444,0.312030923,79.93207596,0.878374461,44.94308005,0.675675676,25,0.185185185,10,0.814814815,44,0.324324324,12,0.714285714,0.675675676,0.694444444,0.49522242,0.81981982,0.656905253,0.714285714,0.091304902,0.908695098,0.285714286,NaN,0.714285714,NaN,NaN,0.856098,0.680425991,NaN,0.714285714,0.008,0,0.015625,0,15.625,0,162485,156288,48114,89.01098901,19.96336996,?,,,
preprocess,1,2,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,60,31,0,65.93406593,34.06593407,0,0.497416711,0.065982153,0.2119663,58.02219791,89.04014452,177.851798,414.4998212,-236.6480231,1.954415363,4.55494309,-2.600527727,80.73323799,0.887178439,45.39354614,0.675675676,25,0.277777778,15,0.722222222,39,0.324324324,12,0.625,0.675675676,0.649350649,0.393780588,0.793793794,0.634794229,0.659340659,0.129889521,0.870110479,0.340659341,NaN,0.659340659,NaN,NaN,0.850962756,0.669541141,NaN,0.659340659,0,0.005,0,0.015625,0,15.625,162485,156288,48114,81.31868132,20.23809524,?,,,
preprocess,1,3,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,56,35,0,61.53846154,38.46153846,0,0.444541332,0.067463825,0.220374509,59.57628607,93.01521226,175.6070055,197.9373736,-22.33036805,1.929747313,2.175135973,-0.24538866,65.20960664,0.716589084,37.13382986,0.540540541,20,0.240740741,13,0.759259259,41,0.459459459,17,0.606060606,0.540540541,0.571428571,0.306307841,0.77977978,0.600694987,0.615384615,0.113795449,0.886204551,0.384615385,0.640085405,0.615384615,0.624200851,0.501963843,0.831938066,0.651223754,0.287267081,0.615384615,0,0.005,0,0,0,0,162485,156288,48114,76.92307692,17.12454212,?,,,
preprocess,1,4,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,59,32,0,64.83516484,35.16483516,0,0.502902014,0.064121545,0.216410469,56.62476888,91.34207886,175.6070055,234.5961538,-58.98914829,1.929747313,2.577979712,-0.648232399,76.56692989,0.841394834,43.60129579,0.540540541,20,0.148148148,8,0.851851852,46,0.459459459,17,0.714285714,0.540540541,0.615384615,0.417608212,0.823323323,0.698231102,0.648351648,0.081420431,0.918579569,0.351648352,NaN,0.648351648,NaN,NaN,0.866043945,0.70805035,NaN,0.648351648,0,0.005,0,0,0,0,162485,156288,48114,85.71428571,17.58241758,?,,,
preprocess,1,5,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,68,23,0,74.72527473,25.27472527,0,0.614974246,0.055330529,0.191727963,48.82059799,80.84755224,182.8635336,2299.13906,-2116.275526,2.00948938,25.2652644,-23.25577502,85.76302039,0.942450774,46.90001265,0.783783784,29,0.203703704,11,0.796296296,43,0.216216216,8,0.725,0.783783784,0.753246753,0.574077612,0.846846847,0.726522312,0.747252747,0.099765975,0.900234025,0.252747253,NaN,0.747252747,NaN,NaN,0.878849604,0.687092204,NaN,0.747252747,0,0.005,0,0.015625,0,15.625,162485,156288,48114,85.71428571,18.4981685,?,,,
preprocess,1,6,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,61,30,0,67.03296703,32.96703297,0,0.514061944,0.067321844,0.212649849,59.08777334,89.13642501,189.3915473,2311.239406,-2121.847859,2.081225794,25.39823523,-23.31700943,68.35755213,0.751181892,36.0932434,0.702702703,26,0.240740741,13,0.759259259,41,0.297297297,11,0.666666667,0.702702703,0.684210526,0.458532353,0.815815816,0.675188201,0.67032967,0.112395557,0.887604443,0.32967033,NaN,0.67032967,NaN,NaN,0.854572091,0.674670322,NaN,0.67032967,0,0.005,0,0,0,0,162485,156288,48114,84.61538462,19.5970696,?,,,
preprocess,1,7,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,61,30,0,67.03296703,32.96703297,0,0.522058824,0.063503049,0.207276572,55.74253641,86.89533962,187.3915473,1668.04013,-1480.648583,2.059247772,18.33011132,-16.27086355,78.12913567,0.85856193,41.69298818,0.648648649,24,0.203703704,11,0.796296296,43,0.351351351,13,0.685714286,0.648648649,0.666666667,0.449237481,0.842842843,0.729395708,0.67032967,0.09901969,0.90098031,0.32967033,NaN,0.67032967,NaN,NaN,0.865032263,0.702527742,NaN,0.67032967,0,0.005,0,0,0,0,162485,156288,48114,89.01098901,19.04761905,?,,,
preprocess,1,8,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,67,24,0,73.62637363,26.37362637,0,0.608602151,0.058784691,0.19083266,51.60079443,80.00165494,187.3915473,1567.493966,-1380.102419,2.059247772,17.22520842,-15.16596064,90.90342489,0.998938735,48.50988543,0.783783784,29,0.203703704,11,0.796296296,43,0.216216216,8,0.725,0.783783784,0.753246753,0.574077612,0.852352352,0.752084089,0.736263736,0.094729345,0.905270655,0.263736264,NaN,0.736263736,NaN,NaN,0.881810416,0.725518132,NaN,0.736263736,0,0.005,0,0.015625,0,15.625,162485,156288,48114,87.91208791,20.6959707,?,,,
preprocess,1,9,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,818,90,66,24,0,73.33333333,26.66666667,0,0.600886918,0.058657846,0.198758566,51.76099917,83.8194078,174.1812845,161.2349298,12.94635476,1.935347606,1.79149922,0.143848386,82.95166503,0.921685167,47.62375318,0.783783784,29,0.20754717,11,0.79245283,42,0.216216216,8,0.725,0.783783784,0.753246753,0.570590647,0.828148904,0.632747402,0.733333333,0.096694771,0.903305229,0.266666667,NaN,0.733333333,NaN,NaN,0.866774732,0.694457432,NaN,0.733333333,0,0,0,0,0,0,162485,156437,47965,85.55555556,18.14814815,?,,,
preprocess,1,10,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,818,90,43,47,0,47.77777778,52.22222222,0,0.347020685,0.083206172,0.256654119,73.42299194,108.2348132,174.1812845,350.1337328,-175.9524483,1.935347606,3.890374809,-1.955027203,50.78794875,0.564310542,29.15809749,0.135135135,5,0.056603774,3,0.943396226,50,0.864864865,32,0.625,0.135135135,0.222222222,0.135778187,0.884242733,0.726718793,0.477777778,0.045677135,0.954322865,0.522222222,NaN,0.477777778,NaN,NaN,0.875562989,0.708657425,NaN,0.477777778,0,0.01,0,0,0,0,162485,156437,47965,80,16.2037037,?,,,
preprocess,2,1,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,63,28,0,69.23076923,30.76923077,0,0.546134663,0.059967435,0.19905982,52.95633685,84.01875295,175.6070055,140.7489917,34.85801378,1.929747313,1.546692217,0.383055096,85.94534429,0.944454333,48.94186542,0.675675676,25,0.203703704,11,0.796296296,43,0.324324324,12,0.694444444,0.675675676,0.684931507,0.474112445,0.85035035,0.713866669,0.692307692,0.098115493,0.901884507,0.307692308,NaN,0.692307692,NaN,NaN,0.887149286,0.707964147,NaN,0.692307692,0,0,0,0,0,0,162485,156288,48114,90.10989011,18.86446886,?,,,
preprocess,2,2,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,64,27,0,70.32967033,29.67032967,0,0.564284448,0.058510701,0.202325528,51.68504278,85.42567943,176.4103874,169.4952658,6.915121595,1.938575686,1.862585339,0.075990347,82.7846596,0.909721534,46.9273158,0.648648649,24,0.166666667,9,0.833333333,45,0.351351351,13,0.727272727,0.648648649,0.685714286,0.492444826,0.862362362,0.720251169,0.703296703,0.090643526,0.909356474,0.296703297,NaN,0.703296703,NaN,NaN,0.89304876,0.708700857,NaN,0.703296703,0,0.008,0,0,0,0,162485,156288,48114,87.91208791,17.30769231,?,,,
preprocess,2,3,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,65,26,0,71.42857143,28.57142857,0,0.576971214,0.061252283,0.199107532,54.10680124,84.06698044,176.4103874,382.4284217,-206.0180343,1.938575686,4.202510129,-2.263934443,81.69664024,0.897765277,46.31056109,0.702702703,26,0.203703704,11,0.796296296,43,0.297297297,11,0.702702703,0.702702703,0.702702703,0.498998999,0.838338338,0.716812588,0.714285714,0.09815837,0.90184163,0.285714286,NaN,0.714285714,NaN,NaN,0.87907727,0.709921034,NaN,0.714285714,0,0.005,0,0,0,0,162485,156288,48114,85.71428571,19.04761905,?,,,
preprocess,2,4,weka.classifiers.bayes.NaiveBayes,'',6.00E+18,2.02E+07,817,91,65,26,0,71.42857143,28.57142857,0,0.581164808,0.061105796,0.201810627,53.63928451,84.6057065,186.3915473,1666.677464,-1480.285917,2.048258761,18.31513697,-16.2668782,78.7296951,0.865161485,42.2388763,0.756756757,28,0.166666667,9,0.833333333,45,0.243243243,9,0.756756757,0.756756757,0.756756757,0.59009009,0.841341341,0.742955998,0.714285714,0.082539683,0.917460317,0.285714286,NaN,0.714285714,NaN,NaN,0.858158088,0.708314037,NaN,0.714285714,0,0.005,0,0.015625,0,15.625,162485,156288,48114,84.61538462,18.40659341,?,,,
