@RELATION preprocess_reduce_noise

@ATTRIBUTE month REAL
@ATTRIBUTE day REAL
@ATTRIBUTE year REAL
@ATTRIBUTE capturetime {10:00,10:04,10:05,10:06,10:07,10:08,10:10,10:11,10:12,10:13,10:14,10:15,10:17,10:18,10:19,10:20,10:23,10:25,10:27,10:28,10:29,10:30,10:31,10:34,10:35,10:36,10:37,10:38,10:39,10:40,10:42,10:43,10:44,10:45,10:46,10:47,10:48,10:49,10:50,10:52,10:53,10:54,10:55,10:56,10:57,10:58,10:59,11:00,11:02,11:03,11:04,11:05,11:06,11:07,11:08,11:10,11:11,11:13,11:15,11:16,11:17,11:18,11:20,11:21,11:22,11:23,11:24,11:25,11:26,11:27,11:28,11:29,11:30,11:33,11:34,11:35,11:36,11:37,11:38,11:39,11:40,11:41,11:42,11:43,11:45,11:46,11:47,11:48,11:50,11:51,11:52,11:53,11:54,11:55,11:56,11:57,11:58,11:59,12:00,12:01,12:02,12:03,12:04,12:05,12:06,12:07,12:08,12:10,12:12,12:13,12:14,12:15,12:16,12:19,12:20,12:21,12:23,12:24,12:25,12:26,12:27,12:28,12:30,12:31,12:32,12:33,12:34,12:35,12:36,12:38,12:39,12:40,12:42,12:44,12:45,12:46,12:47,12:48,12:49,12:50,12:51,12:52,12:53,12:54,12:55,12:56,12:57,12:58,12:59,13:00,13:01,13:02,13:03,13:04,13:05,13:06,13:07,13:08,13:09,13:10,13:11,13:12,13:13,13:14,13:15,13:16,13:17,13:18,13:20,13:21,13:22,13:23,13:24,13:25,13:26,13:27,13:29,13:30,13:31,13:32,13:33,13:34,13:35,13:36,13:37,13:38,13:39,13:40,13:45,13:47,13:48,13:49,13:50,13:51,13:55,13:56,13:57,13:58,14:00,14:01,14:02,14:03,14:05,14:06,14:07,14:08,14:10,14:12,14:15,14:16,14:19,14:20,14:21,14:22,14:23,14:24,14:25,14:26,14:27,14:28,14:29,14:30,14:33,14:35,14:36,14:38,14:39,14:40,14:42,14:43,14:44,14:45,14:47,14:48,14:49,14:50,14:52,14:53,14:55,14:56,14:57,14:58,15:00,15:01,15:02,15:03,15:07,15:08,15:10,15:11,15:12,15:15,15:17,15:23,15:25,15:30,15:33,15:35,15:40,15:45,15:55,16:00,16:05,16:16,16:35,1:15,1:31,8:00,8:34,8:52,9.12,9:01,9:02,9:05,9:08,9:15,9:18,9:20,9:21,9:22,9:23,9:24,9:25,9:29,9:30,9:33,9:35,9:36,9:38,9:39,9:40,9:41,9:42,9:44,9:45,9:46,9:47,9:48,9:49,9:50,9:52,9:53,9:55,9:56,9:57,9:58,9:59}
@ATTRIBUTE species {CH,RT,SS}
@ATTRIBUTE age {A,I}
@ATTRIBUTE wing REAL
@ATTRIBUTE weight REAL
@ATTRIBUTE culmen REAL
@ATTRIBUTE hallux REAL
@ATTRIBUTE tail REAL
@ATTRIBUTE standardtail REAL
@ATTRIBUTE keelfat REAL
@ATTRIBUTE crop {0,0.125,0.234539823,0.25,0.33,0.4,0.5,0.75,1,3,4,5}

@DATA
9,19,1992,13:30,RT,I,385,920,25.7,30.1,219,199.1821366,2.184303351,0.234539823
9,22,1992,10:30,RT,I,376,930,21.80149834,26.41086475,221,199.1821366,2.184303351,0.234539823
9,23,1992,12:45,RT,I,381,990,26.7,31.3,235,199.1821366,2.184303351,0.234539823
9,23,1992,10:50,CH,I,265,470,18.7,23.5,220,199.1821366,2.184303351,0.234539823
9,27,1992,11:15,SS,I,205,170,12.5,14.3,157,199.1821366,2.184303351,0.234539823
9,28,1992,11:25,RT,I,412,1090,28.5,32.2,230,199.1821366,2.184303351,0.234539823
9,28,1992,13:30,RT,I,370,960,25.3,30.1,212,199.1821366,2.184303351,0.234539823
9,29,1992,11:45,RT,A,375,855,27.2,30,243,199.1821366,2.184303351,0.234539823
9,29,1992,15:35,RT,A,412,1210,29.3,31.3,210,199.1821366,2.184303351,0.234539823
9,30,1992,13:45,RT,I,405,1120,26,30.2,238,199.1821366,2.184303351,0.234539823
10,5,1992,13:30,RT,I,393,1010,26.3,30.8,222,199.1821366,2.184303351,0.234539823
10,8,1992,13:45,RT,I,371,1010,25.4,29.7,217,199.1821366,2.184303351,0.234539823
10,9,1992,12:30,RT,A,390,1120,28.9,30.9,213,199.1821366,2.184303351,0.234539823
10,10,1992,11:05,RT,A,393,772.0801782,28.2,30.6,238,199.1821366,2.184303351,0.234539823
10,11,1992,11:00,RT,I,416,1170,26.5,34,243,199.1821366,2.184303351,0.234539823
10,11,1992,11:45,RT,A,436,1390,30.5,34,232,199.1821366,2.184303351,0.234539823
10,11,1992,12:40,RT,I,418,1150,27.1,31,238,199.1821366,2.184303351,0.234539823
10,11,1992,14:20,RT,A,381,950,28.9,28.9,202,199.1821366,2.184303351,0.234539823
10,12,1992,13:40,RT,I,378,910,25.7,28.2,227,199.1821366,2.184303351,0.234539823
10,13,1992,11:00,RT,I,396,1010,24,26.9,227,199.1821366,2.184303351,0.234539823
10,13,1992,14:50,RT,I,399,1070,26.4,31.2,222,199.1821366,2.184303351,0.234539823
10,14,1992,13:15,RT,I,416,1190,28.8,31.6,237,199.1821366,2.184303351,0.234539823
10,17,1992,12:10,RT,I,415,101,24.9,30.7,238,199.1821366,2.184303351,0.234539823
10,22,1992,13:05,RT,A,392,1330,27,30.3,213,199.1821366,2.184303351,0.234539823
10,23,1992,11:45,RT,I,380,990,26,30,211,199.1821366,2.184303351,0.234539823
10,23,1992,16:05,SS,I,173,100,21.80149834,26.41086475,130,199.1821366,2.184303351,0.234539823
10,24,1992,14:35,RT,I,399,1100,26.2,32.5,190,199.1821366,2.184303351,0.234539823
10,25,1992,12:05,RT,A,401,1190,28.6,31.6,245,199.1821366,2.184303351,0.234539823
10,27,1992,10:05,SS,I,205,180,11.7,15,164,199.1821366,2.184303351,0.234539823
10,27,1992,10:45,RT,I,427,1490,30.1,32.4,246,199.1821366,2.184303351,0.234539823
10,27,1992,15:15,RT,A,395,1040,27.1,31.4,207,199.1821366,2.184303351,0.234539823
10,30,1992,11:05,RT,I,362,820,24.9,27.9,209,199.1821366,2.184303351,0.234539823
11,3,1992,10:15,RT,A,396,1030,26,29.7,200,199.1821366,2.184303351,0.234539823
11,8,1992,11:45,RT,A,391,1300,25.5,32.4,215,199.1821366,2.184303351,0.234539823
11,8,1992,13:30,RT,A,413,1500,26.5,31.3,219,199.1821366,2.184303351,0.234539823
11,13,1992,10:45,RT,A,371,1080,25.3,27.2,198,199.1821366,2.184303351,0.234539823
11,16,1992,11:15,RT,A,385,1320,27.3,30.1,207,199.1821366,2.184303351,0.234539823
11,21,1992,14:00,RT,A,378,1490,25.4,31.3,204,199.1821366,2.184303351,0.234539823
11,22,1992,10:08,RT,A,416,1500,29.1,30.8,205,199.1821366,2.184303351,0.234539823
9,13,1993,14:25,SS,I,193,100,9.3,101,144,199.1821366,2.184303351,0.234539823
9,17,1993,15:25,SS,I,171,88,9.7,11.5,136,199.1821366,2.184303351,0.234539823
9,20,1993,13:45,CH,I,233,324,16,19.3,191,199.1821366,2.184303351,0.234539823
9,21,1993,15:11,RT,I,384,1060,26.1,31.2,230,199.1821366,2.184303351,0.234539823
9,22,1993,13:50,RT,I,382,1140,25.1,29.4,227,199.1821366,2.184303351,0.234539823
9,22,1993,15:55,RT,I,390,1030,27.6,30.3,208,199.1821366,2.184303351,0.234539823
